city,locality,property_type,bedrooms,bathrooms,balcony,total_area_sqft,price_per_sqft,price
Chennai,Other,Apartment,4.0,4,1,2583,7700.0,19900000.0
Chennai,Other,Independent House,10.0,6,1,7000,3210.0,22500000.0
Chennai,Other,Apartment,3.0,3,0,1320,7580.0,10000000.0
Chennai,Other,Independent House,7.0,5,1,4250,7840.0,33300000.0
Chennai,Avadi,Apartment,2.0,3,1,960,5000.0,4800000.0
Chennai,Other,Apartment,2.0,3,0,940,4250.0,4000000.0
Chennai,Other,Apartment,2.0,3,1,880,6820.0,6000000.0
Chennai,Other,Independent House,3.0,3,1,1700,4250.0,7234999.999999999
Chennai,Other,Apartment,2.0,3,0,840,5000.0,4200000.0
Chennai,Other,Apartment,1.0,2,0,535,5610.0,3000000.0
Chennai,Other,Apartment,1.0,2,1,581,5060.0,2940000.0
Chennai,Other,Apartment,3.0,3,0,1444,9000.0,13000000.0
Chennai,Other,Apartment,2.0,3,1,878,13100.0,11500000.0
Chennai,Other,Apartment,2.0,3,0,944,5190.0,4900000.0
Chennai,Other,Apartment,3.0,3,0,1317,4330.0,5700000.0
Chennai,Other,Apartment,2.0,3,0,820,3050.0,2500000.0
Chennai,Other,Apartment,3.0,3,1,1658,15680.0,26000000.0
Chennai,Other,Apartment,4.0,5,1,4200,7070.0,29700000.000000004
Chennai,Other,Independent House,2.0,4,1,2838,5710.0,16200000.000000002
Chennai,Other,Villa,3.0,3,0,1566,6900.0,10800000.0
Chennai,Other,Apartment,4.0,4,1,2350,4250.0,10000000.0
Chennai,Other,Apartment,2.0,3,1,868,4610.0,4000000.0
Chennai,Other,Apartment,2.0,3,1,926,9610.0,8900000.0
Chennai,Other,Apartment,2.0,3,1,1090,5780.0,6300000.0
Chennai,Other,Apartment,3.0,3,1,1307,6880.0,9000000.0
Chennai,Other,Apartment,1.0,2,1,605,4130.0,2500000.0
Chennai,Other,Apartment,2.0,3,1,967,5120.0,4950000.0
Chennai,Other,Apartment,1.0,2,0,586,4950.0,2900000.0
Chennai,Other,Apartment,2.0,3,0,1038,4330.0,4500000.0
Chennai,Other,Apartment,3.0,3,0,1500,4670.0,7000000.0
Chennai,Other,Apartment,3.0,3,1,1133,4060.0,4600000.0
Chennai,Other,Apartment,2.0,3,1,1100,8140.000000000001,8950000.0
Chennai,Other,Apartment,3.0,3,0,1024,4390.0,4500000.0
Chennai,Other,Villa,3.0,3,1,1508,3580.0,5400000.0
Chennai,Other,Villa,3.0,3,1,1782,4880.0,8700000.0
Chennai,Other,Independent House,5.0,4,1,2500,10000.0,25000000.0
Chennai,Other,Apartment,2.0,3,1,900,7780.0,7000000.0
Chennai,Other,Apartment,1.0,2,1,537,4840.0,2600000.0
Chennai,Other,Independent House,2.0,3,1,1292,6960.0,9000000.0
Chennai,Other,Apartment,3.0,3,0,1096,4930.0,5400000.0
Chennai,Other,Independent House,4.0,4,1,2300,10430.0,24000000.0
Chennai,Other,Apartment,1.0,2,0,586,4950.0,2900000.0
Chennai,Other,Apartment,2.0,3,0,1112,8090.0,9000000.0
Chennai,Veppampattu,Independent House,1.0,2,1,560,4430.0,2480000.0
Chennai,Other,Apartment,2.0,3,1,856,4320.0,3700000.0
Chennai,Other,Apartment,2.0,3,1,1079,6020.0,6500000.0
Chennai,Other,Apartment,2.0,3,1,1100,10910.0,12000000.0
Chennai,Other,Apartment,3.0,3,1,1432,3910.0,5600000.0
Chennai,Other,Apartment,2.0,3,1,932,4830.0,4500000.0
Chennai,Other,Independent House,3.0,3,1,1500,3000.0,4500000.0
Chennai,Other,Independent House,2.0,3,1,1200,6250.0,7500000.0
Chennai,Other,Apartment,1.0,2,1,590,5420.0,3200000.0
Chennai,Other,Apartment,4.0,3,1,1570,5410.0,8500000.0
Chennai,Other,Apartment,2.0,3,0,808,4460.0,3600000.0
Chennai,Other,Independent House,3.0,3,1,1582,3160.0,5000000.0
Chennai,Other,Independent House,4.0,4,1,2400,9380.0,22500000.0
Chennai,Other,Apartment,3.0,3,1,1350,11850.0,16000000.0
Chennai,Other,Independent House,3.0,3,1,1400,4640.0,6500000.0
Chennai,Other,Apartment,2.0,3,0,950,3370.0,3200000.0
Chennai,Other,Independent House,2.0,3,1,850,6470.0,5500000.0
Chennai,Other,Apartment,2.0,3,0,860,6280.0,5400000.0
Chennai,Other,Apartment,3.0,3,1,1300,6080.0,7900000.0
Chennai,Other,Apartment,2.0,2,0,780,10900.0,8500000.0
Chennai,Other,Independent House,2.0,3,0,1100,6090.0,6700000.0
Chennai,Other,Apartment,3.0,3,0,1193,8300.0,9900000.0
Chennai,Other,Independent House,3.0,3,0,1350,8890.0,12000000.0
Chennai,Other,Apartment,2.0,3,1,1200,6250.0,7500000.0
Chennai,Other,Apartment,2.0,3,0,946,6660.0,6300000.0
Chennai,Other,Apartment,3.0,3,1,1065,8260.0,8800000.0
Chennai,Other,Apartment,1.0,2,1,580,4630.0,2686000.0
Chennai,Other,Apartment,2.0,3,0,1160,5590.0,6490000.000000001
Chennai,Other,Apartment,2.0,3,1,1055,5500.0,5800000.0
Chennai,Other,Independent House,4.0,3,1,1940,14180.0,27500000.0
Chennai,Other,Apartment,2.0,3,1,938,9590.0,9000000.0
Chennai,Other,Apartment,3.0,3,1,1712,6720.0,11500000.0
Chennai,Other,Independent House,4.0,3,1,1328,18000.0,23900000.0
Chennai,Other,Apartment,2.0,3,1,1085,2760.0,3000000.0
Chennai,Other,Independent House,1.0,3,1,880,3100.0,2728000.0
Chennai,Other,Apartment,3.0,3,1,1450,4830.0,7000000.0
Chennai,Other,Apartment,1.0,2,0,462,6060.0,2800000.0
Chennai,Other,Apartment,2.0,3,0,900,10330.0,9300000.0
Chennai,Other,Apartment,2.0,3,0,904,4980.0,4500000.0
Chennai,Other,Apartment,2.0,3,0,940,6910.0,6500000.0
Chennai,Other,Independent House,5.0,5,1,5400,9500.0,51300000.0
Chennai,Other,Apartment,2.0,2,1,795,5500.0,4375000.0
Chennai,Other,Apartment,2.0,3,1,990,6970.0,6900000.0
Chennai,Other,Apartment,2.0,2,0,630,7140.0,4500000.0
Chennai,Other,Apartment,3.0,3,1,1100,9090.0,10000000.0
Chennai,Other,Apartment,2.0,2,1,598,4930.0,2950000.0
Chennai,Other,Apartment,2.0,3,0,918,7840.0,7200000.0
Chennai,Other,Independent House,4.0,1,1,3300,11450.0,37800000.0
Chennai,Other,Apartment,1.0,2,1,490,3060.0,1500000.0
Chennai,Other,Apartment,3.0,3,1,1791,7260.0,13000000.0
Chennai,Other,Apartment,2.0,2,0,500,3600.0,1800000.0
Chennai,Other,Apartment,3.0,3,0,1512,5160.0,7800000.0
Chennai,Other,Apartment,2.0,3,1,967,5010.0,4850000.0
Chennai,Other,Villa,2.0,3,1,1669,4310.0,7200000.0
Chennai,Other,Apartment,2.0,3,0,1065,3380.0,3600000.0
Chennai,Other,Apartment,4.0,4,1,2661,11270.0,30000000.0
Chennai,Other,Apartment,2.0,3,0,1000,7200.0,7200000.0
Chennai,Other,Independent House,10.0,1,1,8000,8130.000000000001,65000000.0
Chennai,Other,Apartment,1.0,2,1,640,2660.0,1700000.0
Chennai,Other,Apartment,2.0,3,0,960,6090.0,5850000.0
Chennai,Other,Apartment,2.0,3,1,1168,5010.0,5850000.0
Chennai,Other,Apartment,3.0,3,1,1650,13940.0,23000000.0
Chennai,Other,Apartment,2.0,2,0,763,5240.0,4000000.0
Chennai,Other,Apartment,2.0,3,0,836,5380.0,4500000.0
Chennai,Other,Apartment,2.0,2,0,518,7800.0,4040000.0
Chennai,Other,Independent House,6.0,4,1,3500,8570.0,30000000.0
Chennai,Other,Apartment,2.0,2,1,620,9030.0,5600000.0
Chennai,Veppampattu,Villa,2.0,3,1,1000,3000.0,3000000.0
Chennai,Other,Apartment,3.0,3,0,1495,18390.0,27500000.0
Chennai,Other,Apartment,2.0,2,1,560,8039.999999999999,4500000.0
Chennai,Other,Apartment,2.0,3,1,831,5420.0,4500000.0
Chennai,Other,Apartment,2.0,3,1,853,5860.0,5000000.0
Chennai,Other,Apartment,2.0,3,1,994,6040.0,6000000.0
Chennai,Other,Independent House,2.0,3,1,1800,6110.0,11000000.0
Chennai,Other,Apartment,2.0,2,1,547,7500.0,4100000.0
Chennai,Other,Apartment,2.0,2,0,730,6160.0,4500000.0
Chennai,Other,Apartment,2.0,3,1,920,3590.0,3300000.0
Chennai,Other,Independent House,4.0,3,0,1400,8210.0,11500000.0
Chennai,Avadi,Apartment,2.0,2,0,667,4800.0,3200000.0
Chennai,Veppampattu,Independent House,2.0,3,0,1000,3900.0,3900000.0
Chennai,Other,Apartment,2.0,3,1,850,6410.0,5450000.0
Chennai,Other,Apartment,2.0,3,1,951,4730.0,4500000.0
Chennai,Other,Apartment,3.0,3,1,1380,5580.0,7700000.0
Chennai,Other,Apartment,3.0,3,0,1196,9200.0,11000000.0
Chennai,Other,Independent House,3.0,5,1,4800,8750.0,42000000.0
Chennai,Other,Apartment,2.0,2,1,690,5290.0,3650000.0
Chennai,Other,Apartment,2.0,3,0,982,6110.0,6000000.0
Chennai,Other,Independent House,2.0,2,0,600,6080.0,3650000.0
Chennai,Other,Apartment,2.0,2,0,770,3900.0,3000000.0
Chennai,Other,Apartment,2.0,3,1,840,4700.0,3950000.0
Chennai,Other,Independent House,3.0,3,1,1650,2360.0,3900000.0
Chennai,Other,Apartment,3.0,3,1,1340,11420.0,15300000.0
Chennai,Other,Villa,4.0,5,1,3500,7430.0,26000000.0
Chennai,Other,Apartment,3.0,3,1,1881,12970.0,24400000.0
Chennai,Other,Apartment,4.0,4,1,2232,5600.0,12500000.0
Chennai,Other,Villa,4.0,4,1,2117,6610.0,14000000.0
Chennai,Other,Apartment,3.0,3,0,1426,6630.0,9460000.0
Chennai,Other,Apartment,2.0,3,1,1121,5350.0,6000000.0
Chennai,Other,Apartment,2.0,3,0,1261,5310.0,6700000.0
Chennai,Other,Apartment,3.0,3,1,1689,7820.0,13200000.0
Chennai,Other,Apartment,2.0,3,0,886,5080.0,4500000.0
Chennai,Other,Apartment,2.0,2,0,620,7260.0,4500000.0
Chennai,Other,Apartment,2.0,3,1,1093,5490.0,6000000.0
Chennai,Other,Apartment,2.0,3,0,1047,6680.0,7000000.0
Chennai,Other,Apartment,3.0,3,1,1559,5450.0,8500000.0
Chennai,Other,Apartment,2.0,3,0,853,5860.0,5000000.0
Chennai,Other,Apartment,3.0,3,0,1317,3950.0,5200000.0
Chennai,Other,Apartment,1.0,2,0,618,8410.0,5200000.0
Chennai,Other,Villa,3.0,3,0,1200,24170.0,29000000.0
Chennai,Other,Villa,3.0,4,1,2150,7670.0,16500000.0
Chennai,Other,Apartment,2.0,2,1,604,4800.0,2900000.0
Chennai,Other,Apartment,2.0,3,0,836,4540.0,3800000.0
Chennai,Other,Apartment,1.0,3,1,1009,7130.0,7200000.0
Chennai,Other,Apartment,2.0,2,1,425,11060.0,4700000.0
Chennai,Other,Apartment,2.0,2,0,711,6330.0,4500000.0
